YYYYMM,Emissions [MMT]
1973-01-01,12.175
1973-02-01,11.708
1973-03-01,13.994
1973-04-01,14.627
1973-05-01,17.344
1973-06-01,20.265
1973-07-01,23.067
1973-08-01,22.85
1973-09-01,19.297
1973-10-01,17.897
1973-11-01,13.766
1973-12-01,11.866
1974-01-01,11.959
1974-02-01,11.021
1974-03-01,13.86
1974-04-01,14.105
1974-05-01,16.676
1974-06-01,18.859
1974-07-01,21.984
1974-08-01,20.748
1974-09-01,17.027
1974-10-01,16.236
1974-11-01,12.999
1974-12-01,11.244
1975-01-01,11.165
1975-02-01,10.285
1975-03-01,11.496
1975-04-01,11.663
1975-05-01,14.975
1975-06-01,16.761
1975-07-01,19.711
1975-08-01,19.608
1975-09-01,17.195
1975-10-01,14.988
1975-11-01,12.398
1975-12-01,11.647
1976-01-01,11.21
1976-02-01,10.825
1976-03-01,12.091
1976-04-01,12.366
1976-05-01,14.472
1976-06-01,17.009
1976-07-01,18.326
1976-08-01,17.897
1976-09-01,16.015
1976-10-01,13.567
1976-11-01,11.793
1976-12-01,11.651
1977-01-01,11.196
1977-02-01,10.942
1977-03-01,12.657
1977-04-01,12.179
1977-05-01,14.184
1977-06-01,16.961
1977-07-01,18.925
1977-08-01,19.148
1977-09-01,17.719
1977-10-01,15.548
1977-11-01,12.776
1977-12-01,11.991
1978-01-01,12.573
1978-02-01,11.585
1978-03-01,12.739
1978-04-01,12.244
1978-05-01,14.308
1978-06-01,17.633
1978-07-01,19.87
1978-08-01,18.669
1978-09-01,16.293
1978-10-01,14.422
1978-11-01,12.51
1978-12-01,12.07
1979-01-01,12.547
1979-02-01,12.46
1979-03-01,14.297
1979-04-01,14.331
1979-05-01,15.229
1979-06-01,17.583
1979-07-01,20.281
1979-08-01,20.613
1979-09-01,18.578
1979-10-01,17.742
1979-11-01,14.331
1979-12-01,13.687
1980-01-01,15.072
1980-02-01,14.368
1980-03-01,15.461
1980-04-01,13.97
1980-05-01,15.341
1980-06-01,18.337
1980-07-01,22.885
1980-08-01,22.067
1980-09-01,19.453
