YYYYMM,Emissions [MMT]
1973-01-01,24.867
1973-02-01,20.867
1973-03-01,19.78
1973-04-01,16.562
1973-05-01,17.754
1973-06-01,20.899
1973-07-01,23.127
1973-08-01,24.456
1973-09-01,22.21
1973-10-01,22.151
1973-11-01,21.213
1973-12-01,20.346
1974-01-01,21.003
1974-02-01,17.992
1974-03-01,17.454
1974-04-01,15.865
1974-05-01,17.973
1974-06-01,18.464
1974-07-01,21.88
1974-08-01,21.894
1974-09-01,20.194
1974-10-01,20.5
1974-11-01,21.811
1974-12-01,24.318
1975-01-01,24.159
1975-02-01,19.726
1975-03-01,18.542
1975-04-01,17.197
1975-05-01,16.706
1975-06-01,18.245
1975-07-01,20.077
1975-08-01,22.093
1975-09-01,17.412
1975-10-01,17.908
1975-11-01,17.715
1975-12-01,21.678
1976-01-01,25.343
1976-02-01,20.042
1976-03-01,20.389
1976-04-01,18.669
1976-05-01,17.662
1976-06-01,19.864
1976-07-01,21.432
1976-08-01,22.642
1976-09-01,18.976
1976-10-01,19.38
1976-11-01,23.498
1976-12-01,26.775
1977-01-01,32.884
1977-02-01,23.61
1977-03-01,22.873
1977-04-01,20.914
1977-05-01,22.183
1977-06-01,22.911
1977-07-01,27.08
1977-08-01,25.736
1977-09-01,21.449
1977-10-01,18.86
1977-11-01,20.14
1977-12-01,26.147
1978-01-01,30.353
1978-02-01,29.543
1978-03-01,29.092
1978-04-01,20.25
1978-05-01,19.937
1978-06-01,21.167
1978-07-01,23.554
1978-08-01,26.076
1978-09-01,21.359
1978-10-01,20.932
1978-11-01,22.053
1978-12-01,27.133
1979-01-01,30.826
1979-02-01,25.59
1979-03-01,18.018
1979-04-01,16.744
1979-05-01,17.48
1979-06-01,19.448
1979-07-01,20.755
1979-08-01,21.044
1979-09-01,18.215
1979-10-01,16.569
1979-11-01,18.737
1979-12-01,20.609
1980-01-01,19.662
1980-02-01,19.509
1980-03-01,16.145
1980-04-01,12.968
1980-05-01,13.032
1980-06-01,14.237
1980-07-01,17.963
1980-08-01,19.239
1980-09-01,14.121
1980-10-01,12.647
1980-11-01,15.75
1980-12-01,18.506
1981-01-01,20.254
1981-02-01,13.75
1981-03-01,13.803
1981-04-01,12.003
1981-05-01,11.459
1981-06-01,14.713
1981-07-01,15.668
1981-08-01,12.761
1981-09-01,12.453
1981-10-01,12.919
1981-11-01,10.919
1981-12-01,12.678
1982-01-01,15.986
1982-02-01,12.064
1982-03-01,10.709
1982-04-01,8.874
1982-05-01,7.896
1982-06-01,8.193
1982-07-01,10.676
1982-08-01,9.35
1982-09-01,8.196
1982-10-01,7.921
1982-11-01,7.386
1982-12-01,8.888
1983-01-01,10.268
1983-02-01,10.059
1983-03-01,9.994
1983-04-01,8.112
1983-05-01,7.114
1983-06-01,8.864
1983-07-01,11.584
1983-08-01,11.702
1983-09-01,8.928
1983-10-01,7.923
1983-11-01,7.278
1983-12-01,11.612
1984-01-01,12.259
1984-02-01,7.971
1984-03-01,8.558
1984-04-01,5.93
1984-05-01,6.602
1984-06-01,8.601
1984-07-01,8.151
1984-08-01,10.075
1984-09-01,6.061
1984-10-01,6.167
1984-11-01,7.205
1984-12-01,6.192
1985-01-01,9.202
1985-02-01,7.297
1985-03-01,5.609
1985-04-01,4.736
1985-05-01,5.472
1985-06-01,5.947
1985-07-01,6.558
1985-08-01,7.792
1985-09-01,5.942
1985-10-01,5.974
1985-11-01,5.412
1985-12-01,8.717
1986-01-01,8.547
1986-02-01,7.42
1986-03-01,7.971
1986-04-01,7.202
1986-05-01,8.118
1986-06-01,9.003
1986-07-01,12.801
1986-08-01,12.203
1986-09-01,8.472
1986-10-01,7.785
1986-11-01,8.251
1986-12-01,9.31
1987-01-01,9.446
1987-02-01,8.179
1987-03-01,7.798
1987-04-01,6.092
1987-05-01,6.153
1987-06-01,8.116
1987-07-01,9.508
1987-08-01,8.655
1987-09-01,5.952
1987-10-01,5.22
1987-11-01,7.428
1987-12-01,8.61
1988-01-01,12.287
1988-02-01,9.106
1988-03-01,7.438
1988-04-01,5.763
